INFO     - 2018-10-05 23:56:57,219 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('EntityAnnot', 4, 'Houston', 5)
INFO     - 2018-10-05 23:56:57,263 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('Analysis', 5, 'Sacramento', 6)
INFO     - 2018-10-05 23:56:57,363 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('EventManagement', 6, 'Sacramento', 6)
INFO     - 2018-10-05 23:56:57,397 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('FoodDistribution', 7, 'Sacramento', 6)
INFO     - 2018-10-05 23:56:57,431 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('Computerization', 10, 'Stafford', 4)
INFO     - 2018-10-05 23:56:57,475 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('ConfigMgmt', 11, 'Atlanta', 6)
INFO     - 2018-10-05 23:56:57,520 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('DataMining', 13, 'Sacramento', 6)
INFO     - 2018-10-05 23:56:57,565 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('Reorganization', 20, 'Houston', 1)
INFO     - 2018-10-05 23:56:57,609 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('Benefits', 30, 'Stafford', 4)
INFO     - 2018-10-05 23:56:57,654 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('OperatingSystem', 61, 'Sacramento', 6)
INFO     - 2018-10-05 23:56:57,688 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('DatabaseSystems', 62, 'Atlanta', 6)
INFO     - 2018-10-05 23:56:57,721 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('Middleware', 63, 'Atlanta', 6)
INFO     - 2018-10-05 23:56:57,766 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('Advertizing', 70, 'Arlington', 9)
INFO     - 2018-10-05 23:56:57,811 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('InkjetPrinters', 91, 'Milwaukee', 7)
INFO     - 2018-10-05 23:56:57,855 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('LaserPrinters', 92, 'Milwaukee', 7)
INFO     - 2018-10-05 23:56:57,900 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('HumanResource', 95, 'Arlington', 9)
INFO     - 2018-10-05 23:56:57,945 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('SearchEngine', 22, 'Arlington', 6)
INFO     - 2018-10-05 23:56:57,990 [Project.py][insert_data]  INSERT INTO PROJECT (Pname, Pnumber, Plocation, Controlling_department) VALUES (%s, %s, %s, %s) ('MotherBoard', 29, 'Milwaukee', 7)
